Week,Home Team,Away Team,Mean Temperature,Precipitation Inches,Snowfall Inches,Mean Wind Speed MPH,Dome
9,Packers,Bears,48,0,0,16,FALSE
9,Browns,Ravens,,0,0,12,FALSE
9,Raiders,Eagles,54,0,0,7,FALSE
9,Jets,Saints,46,0,0,7,FALSE
9,Panthers,Falcons,49,0,0,8,FALSE
9,Texans,Colts,65,0,0,3,TRUE
9,Bills,Chiefs,34,0,0,6,FALSE
9,Redskins,Chargers,50,0,0,4,FALSE
9,Cowboys,Vikings,65,0,0,4,TRUE
10,Vikings,Redskins,65,0,0,10,TRUE
10,Chargers,Broncos,69,0,0,3,FALSE
10,Packers,Eagles,42,0,0,12,FALSE
10,Steelers,Bills,45,0,0,16,FALSE
10,Buccaneers,Dolphins,72,0,0,8,FALSE
10,Giants,Raiders,50,0,0,10,FALSE
10,Cardinals,Texans,65,0,0,5,TRUE
10,Ravens,Bengals,50,0,0,12,FALSE
10,Titans,Jaguars,53,0,0,5,FALSE
10,Falcons,Seahawks,65,0,0,6,TRUE
10,49ers,Panthers,58,0,0,5,FALSE
10,Bears,Lions,42,0,0,9,FALSE
10,Saints,Cowboys,65,0,0,4,TRUE
10,Colts,Rams,65,0,0,6,TRUE
11,Steelers,Lions,57,0.67,0,10,FALSE
11,Bills,Jets,58,0.42,0,17,FALSE
11,Giants,Packers,56,0,0,1,FALSE
11,Dolphins,Chargers,80,0,0,10,FALSE
11,Seahawks,Vikings,65,0,0,8,TRUE
11,Panthers,Patriots,66,0.03,0,9,FALSE
11,Jaguars,Cardinals,74,0.21,0,5,FALSE
11,Broncos,Chiefs,41,0,0,12,FALSE
11,Bengals,Browns,59,1.36,0,13,FALSE
11,Buccaneers,Falcons,75,0,0,5,FALSE
11,Eagles,Redskins,60,0,0,3,FALSE
11,Bears,Ravens,56,0.77,0,21,FALSE
11,Texans,Raiders,65,0,0,21,TRUE
11,Saints,49ers,65,0,0,7,TRUE
11,Titans,Colts,41,0,0,5,FALSE
12,Redskins,49ers,30,0,0,4,FALSE
12,Rams,Bears,65,0,0,13,TRUE
12,Ravens,Jets,27,0,0,15,FALSE
12,Cardinals,Colts,65,0,0,15,TRUE
12,Texans,Jaguars,65,0,0,10,TRUE
12,Chiefs,Chargers,22,0,0,6,FALSE
12,Lions,Buccaneers,65,0,0,0,TRUE
12,Packers,Vikings,17,0,0,12,FALSE
12,Dolphins,Panthers,77,0.1,0,7,FALSE
12,Falcons,Saints,65,0,0,5,TRUE
12,Giants,Cowboys,27,0,0,16,FALSE
12,Patriots,Broncos,24,0,0,18,FALSE
12,Raiders,Titans,50,0,0,3,FALSE
12,Browns,Steelers,,0,0,19,FALSE
13,Jets,Dolphins,43,0,0,3,FALSE
13,Lions,Packers,65,0,0,3,TRUE
13,Seahawks,Saints,65,0,0,5,TRUE
13,49ers,Rams,57,0,0,4,FALSE
13,Chiefs,Broncos,41,0,0,0,FALSE
13,Vikings,Bears,65,0,0,0,TRUE
13,Chargers,Bengals,65,0,0,3,FALSE
13,Panthers,Buccaneers,42,0,0,2,FALSE
13,Eagles,Cardinals,39,0,0,2,FALSE
13,Colts,Titans,65,0,0,2,TRUE
13,Browns,Jaguars,,0,0,6,FALSE
13,Bills,Falcons,36,0,0,7,FALSE
13,Texans,Patriots,65,0,0,9,TRUE
13,Cowboys,Raiders,65,0,0,9,TRUE
13,Redskins,Giants,38,0,0,0,FALSE
13,Ravens,Steelers,31,0,0,7,FALSE
14,Jets,Raiders,31,0.04,0,5,FALSE
14,Packers,Falcons,9,0.13,2.2,7,FALSE
14,Eagles,Lions,30,0.4,0,7,FALSE
14,Bengals,Colts,26,0.04,0,6,FALSE
14,Ravens,Vikings,29,0.56,1.6,7,FALSE
14,Broncos,Titans,8,0.01,0,3,FALSE
14,Cardinals,Rams,65,0,0,6,TRUE
14,Steelers,Dolphins,24,0.09,0,6,FALSE
14,Saints,Panthers,65,0,0,3,TRUE
14,Bears,Cowboys,15,0,0,14,FALSE
14,Jaguars,Texans,72,0,0,4,FALSE
14,Redskins,Chiefs,30,0,0,3,FALSE
14,49ers,Seahawks,42,0,0,10,FALSE
14,Patriots,Browns,26,0,0,3,FALSE
14,Buccaneers,Bills,73,0,0,3,FALSE
14,Chargers,Giants,55,0,0,9,FALSE
15,Dolphins,Patriots,80,0,0,8,FALSE
15,Giants,Seahawks,34,0.47,0,8,FALSE
15,Vikings,Eagles,65,0,0,13,TRUE
15,Lions,Ravens,65,0,0,7,TRUE
15,Raiders,Chiefs,46,0,0,2,FALSE
15,Rams,Saints,65,0,0,5,TRUE
15,Panthers,Jets,43,0.01,0,6,FALSE
15,Jaguars,Bills,58,0.33,0,9,FALSE
15,Falcons,Redskins,65,0,0,5,TRUE
15,Cowboys,Packers,65,0,0,3,TRUE
15,Browns,Bears,,0,0,12,FALSE
15,Titans,Cardinals,32,0,0,8,FALSE
15,Steelers,Bengals,30,0.02,0,13,FALSE
15,Broncos,Chargers,37,0,0,5,FALSE
15,Buccaneers,49ers,64,0.04,0,8,FALSE
15,Colts,Texans,65,0,0,6,TRUE
16,Panthers,Saints,67,1.44,0,13,FALSE
16,Packers,Steelers,23,0.37,6,13,FALSE
16,Chargers,Raiders,58,0,0,2,FALSE
16,Ravens,Patriots,67,0.24,0,10,FALSE
16,49ers,Falcons,52,0,0,1,FALSE
16,Jaguars,Titans,76,0,0,10,FALSE
16,Seahawks,Cardinals,65,0,0,3,TRUE
16,Eagles,Bears,66,0.1,0,12,FALSE
16,Jets,Browns,62,0.05,0,7,FALSE
16,Texans,Broncos,65,0,0,5,TRUE
16,Rams,Buccaneers,65,0,0,13,TRUE
16,Bengals,Vikings,52,0.36,0,13,FALSE
16,Redskins,Cowboys,67,0,0,7,FALSE
16,Lions,Giants,65,0,0,11,TRUE
16,Chiefs,Colts,22,0.01,0,9,FALSE
16,Bills,Dolphins,37,1.38,0,15,FALSE
17,Steelers,Browns,42,0.66,0,8,FALSE
17,Cowboys,Eagles,65,0,0,10,TRUE
17,Raiders,Broncos,53,0,0,5,FALSE
17,Bengals,Ravens,50,0.29,0,3,FALSE
17,Saints,Buccaneers,65,0,0,0,TRUE
17,Patriots,Bills,33,1,0,3,FALSE
17,Chargers,Chiefs,59,0,0,3,FALSE
17,Dolphins,Jets,77,0,0,8,FALSE
17,Giants,Redskins,41,1.09,0,5,FALSE
17,Bears,Packers,26,0,0,13,FALSE
17,Colts,Jaguars,65,0,0,14,TRUE
17,Falcons,Panthers,65,0,0,5,TRUE
17,Cardinals,49ers,65,0,0,7,TRUE
17,Seahawks,Rams,65,0,0,3,TRUE
17,Titans,Texans,45,0.36,0,6,FALSE
17,Vikings,Lions,65,0,0,7,TRUE
